Power dependence  experiment 

Parameters:
Wavelength [nm]: 852.000000
Integration time [ms]: 100.000000
Threshold [V]: -0.200000
Beam diameter [um]: 1.100000

Power [mW] 	Power density [W/cm^2] 	Intensity (1Ch) [counts] 	Intensity (1Ch) [cps] 	Intensity (2Ch) [counts] 	Intensity (2Ch) [cps] 
0.008967	943.531004	17.000000	170.000000	7.000000	70.000000
0.009247	973.026980	12.000000	120.000000	0.000000	0.000000
0.009500	999.686786	12.000000	120.000000	3.000000	30.000000
0.009732	1024.106097	14.000000	140.000000	4.000000	40.000000
0.010081	1060.834264	15.000000	150.000000	4.000000	40.000000
0.010438	1098.356610	8.000000	80.000000	3.000000	30.000000
0.010873	1144.075374	18.000000	180.000000	3.000000	30.000000
0.011405	1200.089388	18.000000	180.000000	6.000000	60.000000
0.011873	1249.325016	14.000000	140.000000	5.000000	50.000000
0.012370	1301.652039	11.000000	110.000000	4.000000	40.000000
0.012853	1352.504309	18.000000	180.000000	2.000000	20.000000
0.013338	1403.498290	15.000000	150.000000	7.000000	70.000000
0.013917	1464.475587	19.000000	190.000000	2.000000	20.000000
0.014454	1520.971800	16.000000	160.000000	2.000000	20.000000
0.015014	1579.821971	19.000000	190.000000	3.000000	30.000000
0.015652	1647.038741	16.000000	160.000000	7.000000	70.000000
0.016153	1699.762812	14.000000	140.000000	4.000000	40.000000
0.016706	1757.960726	18.000000	180.000000	4.000000	40.000000
0.017203	1810.259345	16.000000	160.000000	3.000000	30.000000
0.017691	1861.593762	14.000000	140.000000	5.000000	50.000000
0.018261	1921.493267	13.000000	130.000000	5.000000	50.000000
0.018877	1986.384504	23.000000	230.000000	10.000000	100.000000
0.019568	2059.103449	12.000000	120.000000	5.000000	50.000000
0.020366	2143.081907	17.000000	170.000000	2.000000	20.000000
0.021161	2226.691704	11.000000	110.000000	7.000000	70.000000
0.021859	2300.119697	18.000000	180.000000	4.000000	40.000000
0.022322	2348.816479	20.000000	200.000000	3.000000	30.000000
0.022811	2400.292592	17.000000	170.000000	3.000000	30.000000
0.023459	2468.473839	13.000000	130.000000	4.000000	40.000000
0.024203	2546.836757	11.000000	110.000000	3.000000	30.000000
0.025045	2635.409648	11.000000	110.000000	3.000000	30.000000
0.025880	2723.273756	20.000000	200.000000	4.000000	40.000000
0.026819	2822.113785	17.000000	170.000000	1.000000	10.000000
0.027716	2916.415758	18.000000	180.000000	2.000000	20.000000
0.028719	3021.949058	17.000000	170.000000	2.000000	20.000000
0.029821	3137.919250	8.000000	80.000000	3.000000	30.000000
0.031130	3275.699719	13.000000	130.000000	4.000000	40.000000
0.032668	3437.558835	12.000000	120.000000	4.000000	40.000000
0.034017	3579.508405	16.000000	160.000000	6.000000	60.000000
0.035746	3761.419127	10.000000	100.000000	8.000000	80.000000
0.037904	3988.510008	17.000000	170.000000	2.000000	20.000000
0.039471	4153.375546	24.000000	240.000000	5.000000	50.000000
0.041582	4375.474688	14.000000	140.000000	6.000000	60.000000
0.043051	4530.101753	14.000000	140.000000	2.000000	20.000000
0.044919	4726.675596	27.000000	270.000000	6.000000	60.000000
0.047126	4958.871354	6.000000	60.000000	5.000000	50.000000
0.049537	5212.621867	17.000000	170.000000	5.000000	50.000000
0.051833	5454.233862	12.000000	120.000000	7.000000	70.000000
