TCSPC experiment 

Parameters:
Wavelength [nm]: 852.000000
Exposure time [s]: 100.000000
Threshold [V]: -0.200000
Beam power [mW]: 4.351101
Beam power density [W/cm^2]: 457850.687500
Beam diameter [um]: 1.100000

Time [s] 	Intensity (1Ch) [counts] 	Intensity (1Ch) [cps] 	Intensity (2Ch) [counts] 	Intensity (1Ch) [cps] 
0.000050	10.000000	0.002000	11.000000	0.002200
0.000100	1.000000	0.000200	0.000000	0.000000
0.000150	0.000000	0.000000	0.000000	0.000000
0.000200	1.000000	0.000200	2.000000	0.000400
0.000250	0.000000	0.000000	0.000000	0.000000
0.000300	1.000000	0.000200	0.000000	0.000000
0.000350	0.000000	0.000000	0.000000	0.000000
0.000400	1.000000	0.000200	0.000000	0.000000
0.000450	0.000000	0.000000	0.000000	0.000000
0.000500	1.000000	0.000200	0.000000	0.000000
0.000550	0.000000	0.000000	1.000000	0.000200
0.000600	0.000000	0.000000	0.000000	0.000000
0.000650	0.000000	0.000000	0.000000	0.000000
0.000700	2.000000	0.000400	0.000000	0.000000
0.000750	2.000000	0.000400	0.000000	0.000000
0.000800	0.000000	0.000000	0.000000	0.000000
0.000850	0.000000	0.000000	0.000000	0.000000
0.000900	1.000000	0.000200	0.000000	0.000000
0.000950	1.000000	0.000200	0.000000	0.000000
0.001000	3.000000	0.000600	0.000000	0.000000
0.001050	1.000000	0.000200	2.000000	0.000400
0.001100	0.000000	0.000000	0.000000	0.000000
0.001150	0.000000	0.000000	0.000000	0.000000
0.001200	1.000000	0.000200	0.000000	0.000000
0.001250	1.000000	0.000200	0.000000	0.000000
0.001300	2.000000	0.000400	0.000000	0.000000
0.001350	1.000000	0.000200	0.000000	0.000000
0.001400	4.000000	0.000800	0.000000	0.000000
0.001450	0.000000	0.000000	1.000000	0.000200
0.001500	1.000000	0.000200	0.000000	0.000000
0.001550	0.000000	0.000000	0.000000	0.000000
0.001600	1.000000	0.000200	0.000000	0.000000
0.001650	4.000000	0.000800	0.000000	0.000000
0.001700	1.000000	0.000200	1.000000	0.000200
0.001750	2.000000	0.000400	1.000000	0.000200
0.001800	2.000000	0.000400	0.000000	0.000000
0.001850	0.000000	0.000000	0.000000	0.000000
0.001900	0.000000	0.000000	0.000000	0.000000
0.001950	0.000000	0.000000	0.000000	0.000000
0.002000	4.000000	0.000800	0.000000	0.000000
0.002050	0.000000	0.000000	0.000000	0.000000
0.002100	0.000000	0.000000	0.000000	0.000000
0.002150	2.000000	0.000400	1.000000	0.000200
0.002200	1.000000	0.000200	0.000000	0.000000
0.002250	1.000000	0.000200	0.000000	0.000000
0.002300	0.000000	0.000000	0.000000	0.000000
0.002350	0.000000	0.000000	0.000000	0.000000
